v,J_theta,T_s,T_p,J_TIR_s,J_TIR_p
0.000611801980683227,2510.6162590135445,0.0025459288764820985,0.0065046461849617805,6.3918504315880424,16.33067047109547
0.0005450064896286245,2818.3150645539163,0.0022682841640716865,0.005796541497841077,6.3927394302923215,16.33648022567743
0.00048550361573790075,3163.7251509764455,0.002020887156988858,0.005165321737134697,6.393531525850935,16.341658292658384
0.0004324971635754168,3551.4683779704374,0.0018004488806460952,0.004602680176522176,6.394237265766877,16.346273100829897
0.00038527786495778037,3986.7330560719306,0.0016040366793274115,0.004101199024041531,6.394866052626442,16.35038571867631
0.0003432138883855167,4475.343370355341,0.0014290358836137836,0.003654256060789491,6.395426267730834,16.354050635235073
0.00030574238463871846,5023.837312628473,0.001273115545647571,0.003255940716719653,6.395925381511625,16.357316460362487
0.0002723619554100619,5639.554164925251,0.0011341978222138068,0.0029009787075019162,6.3963700521150235,16.360226552251902
0.00024262594419955464,6330.7327048943835,0.0010104306265300374,0.0025846644207136284,6.39676621340063,16.362819579388663
0.0002161364596978904,7106.6214471495405,0.0009001632070946591,0.0023028003032383323,6.397119153473818,16.365130023495997
0.0001925390516865572,7977.602395697483,0.0008019243461176333,0.0020516425634675857,6.397433584756169,16.367188629433937
0.0001715179682140439,8955.329963349184,0.0007144029011413584,0.0018278525609277127,6.397713706494792,16.369022807460485
0.0001527919305854134,10052.88691696548,0.0006364304416595281,0.0016284533117670304,6.397963260517632,16.37065699275189
0.00013611036963126903,11284.959435207724,0.000566965758068751,0.0014507905908396593,6.3981855809576516,16.3721129666066
0.00012125007289442108,12668.033621204315,0.0005050810433501582,0.0012924981597710237,6.398383638592758,16.373410143324033
0.00010801219787096214,14220.616099627916,0.00044994956867920637,0.00115146669536921,6.398560080380158,16.37456582635274
9.621961134056092e-05,15963.481649946207,0.0004008346928957088,0.0010258160341229138,6.39871726470247,16.375595436941726
8.571451918411112e-05,17919.951189374788,0.00035708006261658245,0.0009138703864277574,6.39885729278805,16.376512718200487
7.635635497382521e-05,20116.20382516344,0.00031810087491329056,0.0008141362087756052,6.398982036718572,16.377329917175892
6.801989908343966e-05,22581.627151722132,0.00028337608806479776,0.0007252824536178756,6.399093164392839,16.37805794728507
6.059360315074416e-05,25349.21047983819,0.00025244147808334755,0.0006461229451792073,6.399192161776237,16.378706533200678
5.39780974724171e-05,28455.986259702815,0.00022488344963084446,0.0005756006553623125,6.39928035272988,16.3792843400659
4.808486135893327e-05,31943.525604335347,0.00020033351972311269,0.0005127736772579817,6.39935891668187,16.379799088719526
4.283503865784364e-05,35858.494543899265,0.00017846340137175554,0.0004568027148596822,6.3994289043748,16.380257658434285
3.8158382596190565e-05,40253.27845403339,0.00015898062214252202,0.00040693992657562356,6.399491251898405,16.380666178512477
3.399231582322001e-05,45186.68301354052,0.00014162461960918882,0.0003625189772179438,6.39954679319367,16.381030109940145
3.0281093076017573e-05,50724.7210708025,0.00012616326193813578,0.0003229461685024882,6.399596271194532,16.3813543181731
2.6975055263874564e-05,56941.49594781504,0.00011238974742813959,0.00028769253187563786,6.3996403477553665,16.38164313801328
2.4029964990444326e-05,63920.19300114673,0.00010011984182184133,0.00025628677984651407,6.39967961249638,16.381900431431582
2.1406414622449165e-05,71754.19270769326,8.918941666245632e-05,0.0002283090230815791,6.399714590684639,16.382129639100818
1.906929898443154e-05,80548.32016918994,7.945225594789912e-05,0.0002033851704406798,6.399745750255804,16.382333826321144
1.6987345623787492e-05,90420.24775484225,7.077810188512071e-05,0.00018118193801419527,6.399773508070082,16.382515723946007
1.5132696360658268e-05,101502.06965053944,6.305091371554985e-05,0.00016140240116536858,6.3997982354858935,16.38267776485155
1.3480534523487431e-05,113942.06938336116,5.6167316408772466e-05,0.000143782030685376,6.399820263325552,16.382822116433676
1.2008752882360164e-05,127906.70397225457,5.0035218542473585e-05,0.00012808516051760816,6.399839886299231,16.382950709564415
1.0697657836811518e-05,143582.83125437965,4.4572580934888715e-05,0.00011410184018009513,6.399857366946306,16.383065264392794
9.529705899902192e-06,161180.21019051227,3.970631960078777e-05,0.00010164503008135269,6.39987293914663,16.383167313333367
8.489268952511044e-06,180934.30760556433,3.537132838953024e-05,9.054810244867452e-05,6.399886811248695,16.38325822154863
7.562425126761548e-06,203109.44892062162,3.1509608257356896e-05,8.066261462607273e-05,6.399899168856428,16.383339205198105
6.736772520436871e-06,228002.35503578986,2.8069491546731112e-05,7.185632510298232e-05,6.39991017731189,16.383411347697315
6.001263249735888e-06,255946.11269012382,2.5004950911895347e-05,6.401142585056222e-05,6.3999199839069805,16.3834756142035
5.346055619864554e-06,287314.6314251994,2.2274983658533256e-05,5.7022967411203944e-05,6.399928719853822,16.383532864521218
4.762382435388603e-06,322527.64679001784,1.984306327143087e-05,5.079745574576034e-05,6.399936502040031,16.38358386460015
4.242433688236216e-06,362056.3367340668,1.7676650800599746e-05,4.525160212514772e-05,6.399943434592453,16.383629296778494
3.7792520536232147e-06,406429.62634032796,1.574675957532464e-05,4.03112093880421e-05,6.399949610270175,16.38366976890867
3.366639795554073e-06,456241.2652605175,1.4027567427622087e-05,3.5910179700935535e-05,6.399955111705523,16.38370582248738
2.9990758362205816e-06,512157.7725542475,1.2496071241077743e-05,3.198963057455712e-05,6.399960012509569,16.383737939898428
2.6716418796213626e-06,574927.3552403249,1.1131779206403793e-05,2.8497107332832656e-05,6.399964378256975,16.383766550865147
2.379956600877967e-06,645389.919897434,9.916436668828691e-06,2.538588151609562e-05,6.399968267363326,16.383792038198703
2.120117020648497e-06,724488.3112773519,8.833781901301977e-06,2.2614325846103074e-05,6.399971731866704,16.38381474291899
1.8886462801822906e-06,813280.9283121807,7.869328537441442e-06,2.014535740167707e-05,6.399974818123911,16.383834968816586
1.682447118204517e-06,912955.8863277659,7.010171754490485e-06,1.7945941563966052e-05,6.39997756743073,16.38385298651692
1.4987604271147417e-06,1024846.9149648875,6.24481561404096e-06,1.598665010145637e-05,6.399980016574438,16.383869037100666
1.3351283339486878e-06,1150451.2045349434,5.563019251140804e-06,1.4241267487700234e-05,6.3999821983260174,16.383883335329063
1.1893613120972308e-06,1291449.439608501,4.955659854418133e-06,1.2686440188850053e-05,6.399984141878644,16.383896072517167
1.059508883711558e-06,1449728.2879018907,4.414610604377878e-06,1.1301364232055462e-05,6.399985873238273,16.38390741909343
9.4383352076946e-07,1627405.645380953,3.932631937056768e-06,1.0067506877208004e-05,6.3999874155716165,16.383917526879877
8.407873955784512e-07,1826858.9753813467,3.503274678430041e-06,8.968358670216106e-06,6.399988789516121,16.38392653112341
7.489916696191037e-07,2050757.120945185,3.1207937537266072e-06,7.989212562019072e-06,6.399990013456094,16.383934552305337
6.672180435969318e-07,2302096.0160482437,2.7800713172489035e-06,7.116967139310657e-06,6.399991103768694,16.38394169775333
5.943723218279724e-07,2584238.773562139,2.476548274299461e-06,6.339951335260603e-06,6.399992075043071,16.383948063077504
5.294797710365759e-07,2900960.686359999,2.206163279070837e-06,5.6477682756905976e-06,6.399992940275561,16.383953733449623
4.7167207765452587e-07,3256499.7437160923,1.965298392359267e-06,5.031156172008932e-06,6.399993711043601,16.383958784742724
4.201757290998918e-07,3655613.3389485576,1.7507306720522627e-06,4.481864400149797e-06,6.399994397660624,16.383963284546272
3.7430166356791977e-07,4103641.9270984135,1.5595890487061467e-06,3.992543107837689e-06,6.399995009314074,16.383967293070544
3.334360498400048e-07,4606580.484434814,1.3893159092331674e-06,3.556644873417948e-06,6.399995554188319,16.38397086395225
