d_nm,condition_number
865.531801040667,10.904521753777216
866.949173975606,10.745904983263285
868.366546910545,10.597774376102569
869.783919845484,10.468453869623051
871.201292780423,10.369502249588423
872.618665715362,10.316515452265753
874.0360386503011,10.330314776717103
875.45341158524,10.43862564192992
876.8707845201791,10.678167818251257
878.2881574551182,11.096235063689994
879.7055303900571,11.747839546860618
881.1229033249962,12.675654499794769
882.5402762599351,13.842133320546996
883.9576491948742,14.988658820991347
885.3750221298131,15.577600176923632
886.7923950647522,15.220007121227342
888.2097679996912,14.184473912561078
889.6271409346302,13.028076458597825
891.0445138695692,12.078940350299822
892.4618868045083,11.423177266471283
893.8792597394473,11.043396252759738
895.2966326743863,10.892173187822266
896.7140056093253,10.913830836413526
898.1313785442643,11.053691126703933
899.5487514792034,11.266274620320802
900.9661244141423,11.518530258568275
902.3834973490814,11.788099202760735
903.8008702840203,12.060129606509744
905.2182432189594,12.324654177311
906.6356161538984,12.574862561986562
908.0529890888374,12.806045431428965
909.4703620237764,13.014957539726012
910.8877349587154,13.199427370884589
912.3051078936545,13.35811057490525
913.7224808285935,13.490328264270032
915.1398537635325,13.59595642354402
916.5572266984715,13.675346698507854
917.9745996334105,13.729266526279838
919.3919725683495,13.758850702159561
920.8093455032886,13.765558573053067
922.2267184382275,13.751131968698257
923.6440913731666,13.717549298108688
925.0614643081055,13.666971431249387
926.4788372430446,13.6016755705777
927.8962101779837,13.523974864615214
929.3135831129226,13.436124534239294
930.7309560478617,13.340219933629626
932.1483289828006,13.238097694021691
933.5657019177397,13.131256412536993
934.9830748526787,13.020816143767405
936.4004477876177,12.90753447503941
937.8178207225567,12.791891024235937
