eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,43.902571124596214,0.7205199948323143,0.67,0.545157975721256,0.36525584373324155
0.67,44.20327327410866,0.7168707778492303,0.67,0.5432131094436974,0.3639527833272773
0.67,44.5039754236211,0.7132018153868163,0.67,0.541248864356435,0.3626367391188115
0.67,44.804677573133546,0.7095132085029262,0.67,0.5392651299588845,0.3613076370724527
0.67,45.10537972264598,0.7058050587965001,0.67,0.5372617959051633,0.3599654032564595
0.67,45.406081872158424,0.7020774684047647,0.67,0.5352387520442793,0.35860996386966715
0.67,45.70678402167086,0.6983305400004213,0.67,0.5331958884613691,0.3572412452691174
0.67,46.00748617118331,0.6945643767888164,0.67,0.5311330955199941,0.3558591739983961
0.67,46.30818832069575,0.6907790825051008,0.67,0.5290502639055081,0.3544636768166905
0.67,46.608890470208195,0.6869747614113704,0.67,0.5269472846695074,0.35305468072857005
0.67,46.909592619720634,0.6831515182937958,0.67,0.5248240492753733,0.35163211301450015
0.67,47.21029476923308,0.6793094584597353,0.67,0.5226804496449179,0.35019590126209504
0.67,47.510996918745526,0.6754486877348349,0.67,0.520516378206142,0.3487459733981152
0.67,47.811699068257965,0.6715693124601129,0.67,0.5183317279421142,0.34728225772121657
0.67,48.11240121777041,0.667671439489031,0.67,0.5161263924409791,0.3458046829354561
0.67,48.41310336728285,0.6637551761845515,0.67,0.513900265947103,0.34431317818455903
0.67,48.7138055167953,0.6598206304161794,0.67,0.5116532434133615,0.3428076730869522
0.67,49.014507666307736,0.6558679105569923,0.67,0.5093852205545784,0.3412880977715675
0.67,49.31520981582018,0.6518971254806539,0.67,0.5070960939021164,0.339754382914418
0.67,49.61591196533263,0.6479083845584167,0.67,0.5047857608596295,0.3382064597759518
0.67,49.91661411484507,0.6439017976561084,0.67,0.5024541197599734,0.33664426023918226
0.67,50.217316264357514,0.6398774751311062,0.67,0.5001010699232824,0.33506771684859926
0.67,50.51801841386995,0.6358355278292972,0.67,0.49772651171621074,0.3334767628498613
0.67,50.8187205633824,0.6317760670820248,0.67,0.495330346612338,0.33187133223026644
0.67,51.11942271289484,0.627699204703023,0.67,0.49291247725374027,0.330251359760006
0.67,51.420124862407285,0.6236050529853358,0.67,0.49047280751372263,0.3286167810341942
0.67,51.72082701191973,0.6194937246982243,0.67,0.48801124256070927,0.32696753251567523
0.67,52.02152916143217,0.6153653330840614,0.67,0.48552768892328974,0.3253035515786042
0.67,52.322231310944616,0.6112199918552116,0.67,0.48302205455641034,0.323624776552795
0.67,52.622933460457055,0.6070578151908995,0.67,0.48049424890870784,0.3219311467688343
0.67,52.9236356099695,0.6028789177340648,0.67,0.4779441829909745,0.32022260260395297
0.67,53.22433775948194,0.5986834145882043,0.67,0.47537176944574405,0.3184990855286486
0.67,53.52503990899439,0.5944714213142017,0.67,0.4727769226179869,0.3167605381540513
0.67,53.82574205850683,0.5902430539271447,0.67,0.4701595586269024,0.31500690428002465
0.67,54.12644420801927,0.5859984288931296,0.67,0.46751959543879096,0.31323812894399
